夹,ngeh
溴,hiu
煎,tsian
气,khui
赔,tshe
湿,tam
斋,tsai
捆,pe
洞,khong
嗒,tap
掺,tsham
恰,khah
愈,ju
樟,tsiong
端,tuan
迷,be
思,su
焕,huan
渗,tsuh
典,tian
墨,bak
捧,phang
毵,sam
茫,bong
秉,ping
屏,ping
抓,tsong
吩,huan
恻,tshik
寿,siu
臜,tsa
巡,sun
撞,tu
箴,tsim
含,ham
印,in
坡,kia
娼,tshiong
卿,khing
市,tshi
族,tsak
意,i
愉,lu
炊,tshue
忌,khi
血,hiat
血,huih
女,lu
入,lip
围,ui
设,siat
娶,tshua
袄,hiu
瓦,hia
锋,hong
揕,tim
长,tiong
长,tng
性,sinn
惹,lia
芒,bong
刮,khau
戒,pai
跨,huah
吵,lo
袪,khiap
吼,hau
纤,siam
戴,khua
剂,tse
巢,siu
饷,siong
祀,tse
咯,kok
芷,tsi
举,ku
站,tsam
原,guan
尊,sian
瘸,khe
祠,su
鹄,khok
纹,hun
知,tsai
香,hiang
厨,too
候,hau
央,ng
埙,hun
署,su
篇,phinn
佬,lau
忍,jim
怎,tsai
昧,mai
红,ang
哦,oo
粥,mue
吻,tsim
脉,bah
正,tsiann
聊,liau
锐,lue
燃,tioh
泓,hong
使,su
挣,ling
修,siu
撅,khiau
喂,ue
寻,siam
靠,kho
靠,khua
戒,pian
𢙒,giau
泛,phann
橄,kann
粥,be
宝,po
轧,kiau
旋,suan
秽,e
鳜,ke
架,ke
锚,biau
除,ti
醅,phe
驹,ku
筹,khing
朕,tim
𩭹,sam
痱,pui
荖,lo
蝎,giat
袄,o
杜,too
澳,o
盛,tsng
烂,nua
荖,lau
查,tsa
驴,lo
例,le
惠,hui
替,the
著,tioh
牢,tiau
际,tse
崎,kia
号,lo
扶,hu
扶,phoo
掠,liah
奶,ni
糍,tsi
父,hu
呆,gong
埤,pi
榻,thah
渡,thoo
轿,kio
耆,ki
喉,au
矮,ue
撂,phe
酉,iu
贸,boo
舟,tsiu
蛆,tshu
镕,iunn
傍,png
怫,phut
栋,tong
而,li
擡,tann
相,siong
相,sann
牲,senn
砥,te
童,tong
众,tsing
悭,kian
赶,kuann
宦,huan
益,iah
孔,khang
寄,ki
舀,khat
晬,tse
蝒,bin
容,iong
苔,thi
密,bat
绕,uan
偌,gua
题,tue
憾,ham
俏,tshio
扛,tann
滩,than
粱,liang
冥,bing
桅,gui
核,hut
权,kuan
涚,sue
箧,khueh
缭,liau
兰,lian
茭,ka
编,pinn
沓,tap
得,tik
凉,liang
聋,long
逍,siau
刹,sat
厕,tshe
帷,ui
胁,hiap
伐,huah
贬,pian
瑟,sit
画,ue
搽,ta
肏,kan
砲,phau
丰,hong
求,kiu
竭,keh
花,hue
荒,hong
碑,pi
懒,nua
汤,thong
姓,sing
辩,pian
风,hong
苔,tai
喷,tshiang
筹,tiu
仇,siu
股,kang
拆,thiah
宅,theh
拿,theh
斟,thin
嗙,pong
狱,gik
邪,sia
舖,phoo
赊,sia
鸭,ah
旒,liu
